Date_x_x,Symbol,Open_x,Date_y_x,Close_x,Percent Change March,Date_x_y,Open_y,Date_y_y,Close_y,Percent Change April,Date_x,Open,Date_y,Close,Percent Change May
2020-03-02,MMM,151.33999633789062,2020-03-31,136.50999450683594,-9.799129238740266,2020-04-02,132.36000061035156,2020-04-30,151.9199981689453,14.777876600481074,2020-05-04,148.5399932861328,2020-05-29,156.44000244140625,5.318439149283949
2020-03-02,ABT,77.87999725341797,2020-03-31,78.91000366210938,1.3225557845614866,2020-04-02,76.12000274658203,2020-04-30,92.08999633789062,20.980022352962518,2020-05-04,89.79000091552734,2020-05-29,94.91999816894531,5.713327988763658
2020-03-02,ABBV,86.0,2020-03-31,76.19000244140625,-11.40697390534157,2020-04-02,72.77999877929688,2020-04-30,82.19999694824219,12.94311394193777,2020-05-04,82.22000122070312,2020-05-29,92.66999816894531,12.709799067250394
2020-03-02,ABMD,151.08999633789062,2020-03-31,145.16000366210938,-3.924808272891668,2020-04-02,143.11000061035156,2020-04-30,191.25,33.638459355974824,2020-05-04,182.5800018310547,2020-05-29,223.8999938964844,22.63117080241023
2020-03-02,ACN,182.0,2020-03-31,163.25999450683594,-10.29670631492531,2020-04-02,154.0500030517578,2020-04-30,185.19000244140625,20.214215366932518,2020-05-04,177.97999572753906,2020-05-29,201.6199951171875,13.282391255834035
2020-03-02,ATVI,58.29999923706055,2020-03-31,59.47999954223633,2.0240142720716716,2020-04-02,58.27000045776367,2020-04-30,63.72999954223633,9.370171686252641,2020-05-04,65.33000183105469,2020-05-29,71.9800033569336,10.179092820288
2020-03-02,ADBE,349.80999755859375,2020-03-31,318.239990234375,-9.024901387768576,2020-04-02,297.760009765625,2020-04-30,353.6400146484375,18.766793071640873,2020-05-04,340.739990234375,2020-05-29,386.6000061035156,13.458947345040487
2020-03-02,AMD,47.41999816894531,2020-03-31,45.47999954223633,-4.091098063304992,2020-04-02,43.400001525878906,2020-04-30,52.38999938964844,20.714280063812677,2020-05-04,49.81999969482422,2020-05-29,53.79999923706055,7.988758664424096
2020-03-02,AAP,133.44999694824222,2020-03-31,93.31999969482422,-30.071186340290573,2020-04-02,87.70999908447266,2020-04-30,120.91000366210938,37.852017927468125,2020-05-04,115.43000030517578,2020-05-29,139.32000732421878,20.696532059154634
2020-03-02,AES,16.770000457763672,2020-03-31,13.600000381469727,-18.902802562693992,2020-04-02,12.65999984741211,2020-04-30,13.25,4.660348812788456,2020-05-04,12.869999885559082,2020-05-29,12.489999771118164,-2.9526038680645295
2020-03-02,AFL,43.11999893188477,2020-03-31,34.240001678466804,-20.593686162760356,2020-04-02,31.6299991607666,2020-04-30,37.2400016784668,17.73633470297009,2020-05-04,36.04999923706055,2020-05-29,36.47000122070313,1.1650540708217543
2020-03-02,A,77.30999755859375,2020-03-31,71.62000274658203,-7.359972825893876,2020-04-02,68.26999664306639,2020-04-30,76.66000366210938,12.289449877825774,2020-05-04,74.27999877929688,2020-05-29,88.13999938964844,18.659128753532755
2020-03-02,APD,221.08999633789062,2020-03-31,199.6100006103516,-9.715498703392837,2020-04-02,187.6300048828125,2020-04-30,225.5800018310547,20.22597450335542,2020-05-04,221.5500030517578,2020-05-29,241.6499938964844,9.072439886191694
2020-03-02,AKAM,87.30999755859375,2020-03-31,91.48999786376952,4.787539138768809,2020-04-02,91.44000244140624,2020-04-30,97.70999908447266,6.85695152631275,2020-05-04,96.0500030517578,2020-05-29,105.8000030517578,10.150962717560857
2020-03-02,ALK,50.849998474121094,2020-03-31,28.46999931335449,-44.0117990803016,2020-04-02,26.13999938964844,2020-04-30,32.52000045776367,24.407043676679425,2020-05-04,27.1200008392334,2020-05-29,34.189998626708984,26.06931256892776
2020-03-02,ALB,82.48999786376953,2020-03-31,56.36999893188477,-31.664443700218513,2020-04-02,54.88000106811523,2020-04-30,61.43000030517578,11.935129572849156,2020-05-04,56.81999969482422,2020-05-29,76.5199966430664,34.67088534679573
2020-03-02,ARE,152.88999938964844,2020-03-31,137.05999755859378,-10.353850411570113,2020-04-02,129.0,2020-04-30,157.08999633789062,21.775190959605137,2020-05-04,149.39999389648438,2020-05-29,153.72000122070312,2.8915712856132902
2020-03-02,ALXN,90.4800033569336,2020-03-31,89.79000091552734,-0.762602139485193,2020-04-02,88.75,2020-04-30,107.47000122070312,21.092959121919012,2020-05-04,103.3000030517578,2020-05-29,119.9000015258789,16.069697951319313
2020-03-02,ALGN,218.91000366210938,2020-03-31,173.9499969482422,-20.538123412241855,2020-04-02,155.07000732421875,2020-04-30,214.8500061035156,38.55032950008795,2020-05-04,199.3999938964844,2020-05-29,245.6199951171875,23.17953993754761
2020-03-02,ALLE,115.36000061035156,2020-03-31,92.0199966430664,-20.232319559463313,2020-04-02,84.16000366210938,2020-04-30,100.54000091552734,19.46292364622673,2020-05-04,96.37999725341795,2020-05-29,99.6999969482422,3.4446978516660094
2020-03-02,LNT,52.209999084472656,2020-03-31,48.290000915527344,-7.50813682758927,2020-04-02,44.02999877929688,2020-04-30,48.54999923706055,10.265729237060508,2020-05-04,47.40999984741211,2020-05-29,49.36000061035156,4.113057939707828
2020-03-02,ALL,104.58999633789062,2020-03-31,91.7300033569336,-12.295624276925366,2020-04-02,86.2699966430664,2020-04-30,101.72000122070312,17.908896695057944,2020-05-04,98.9800033569336,2020-05-29,97.80999755859376,-1.1820627992107158
