"Rotten Tomatoes","Year","original_title","Netflix","Hulu","Prime Video"
"96%",1970,"Little Big Man",0,0,1
"86%",1970,"A Man Called Horse",0,0,1
"80%",1970,"Joe",0,0,1
"66%",1970,"The Aristocats",0,0,0
"33%",1970,"Cromwell",0,0,1
