"IMDb","Title","Year","sci-fi"
8.8,"Inception",2010,"1"
8.8,"Memories 677",2011,"1"
8.7,"Star Wars: The Empire Strikes Back",1980,"1"
8.7,"RWBY: Volume 3",2016,"1"
8.7,"The Matrix",1999,"1"
8.6,"Star Wars: A New Hope",1977,"1"
8.6,"Home",2009,"1"
8.5,"Back to the Future",1985,"1"
8.5,"Avengers: Infinity War",2018,"1"
8.4,"Spider-Man: Into the Spider-Verse",2018,"1"
