"Rotten Tomatoes","Year","original_title","sci-fi"
"98%",2017,"Dina","1"
"96%",1985,"Back to the Future","1"
"96%",2015,"Avril et le monde truqué","1"
"95%",2008,"WALL·E","1"
"95%",1982,"Liquid Sky","1"
"95%",2013,"Her","1"
"94%",2013,"Snowpiercer","1"
"93%",2015,"Star Wars: The Force Awakens","1"
"93%",2006,"괴물","1"
"93%",2017,"Thor: Ragnarok","1"
