"Rotten Tomatoes","Year","original_title","western"
"97%",2016,"Hell or High Water","1"
"97%",1966,"Il buono, il brutto, il cattivo","1"
"96%",1970,"Little Big Man","1"
"96%",2010,"True Grit","1"
"95%",1968,"C'era una volta il West","1"
"93%",1954,"Johnny Guitar","1"
"93%",1962,"The Man Who Shot Liberty Valance","1"
"92%",2015,"Slow West","1"
"91%",2015,"Bone Tomahawk","1"
"91%",1991,"Thousand Pieces of Gold","1"
