"IMDb","Title","Year","Netflix","Hulu","Prime Video"
7.6,"Little Big Man",1970,0,0,1
7.4,"Adelheid",1970,0,0,1
7.1,"Bartleby",1970,0,0,1
7.1,"Vengeance",1970,0,0,1
7.1,"The Aristocats",1970,0,0,0
7,"Jeevan Mrityu",1970,0,0,1
7,"Black Roots",1970,0,0,1
7,"Santa and the Three Bears",1970,0,0,1
6.9,"A Man Called Horse",1970,0,0,1
6.9,"Cromwell",1970,0,0,1
