"IMDb","Title","Year","Netflix","Hulu","Prime Video","Age"
8.8,"The Good, the Bad and the Ugly",1966,1,0,1,"18+"
8.8,"Street Dogs of South Central",2013,0,0,1,"18+"
8.7,"The Matrix",1999,1,0,0,"18+"
8.7,"Anand",1971,0,0,1,"18+"
8.7,"GoodFellas",1990,0,1,0,"18+"
8.6,"Gol Maal",1979,1,0,1,"18+"
8.6,"Parasite",2019,0,1,1,"18+"
8.6,"Louis C.K.: Shameless",2007,0,0,1,"18+"
8.6,"The Green Mile",1999,0,1,0,"18+"
8.6,"George Carlin: You Are All Diseased",1999,0,0,1,"18+"
