"IMDb","Title","Year","western"
8.8,"The Good, the Bad and the Ugly",1966,"1"
8.5,"Once Upon a Time in the West",1968,"1"
8.4,"Ghosts of the West: The End of the Bonanza Trail",2012,"1"
8.4,"Django Unchained",2012,"1"
8.3,"Calamity Jane: Légende de l'Ouest",2014,"1"
8.2,"Sholay",1975,"1"
8.2,"Gold Fever",2013,"1"
8.1,"An Occurrence at Owl Creek Bridge",1962,"1"
8.1,"The Man Who Shot Liberty Valance",1962,"1"
7.9,"The Big Country",1958,"1"
