"Rotten Tomatoes","Year","original_title","action"
"97%",2016,"Hell or High Water","1"
"97%",2011,"Nuit Blanche","1"
"97%",2004,"The Incredibles","1"
"96%",2010,"葉問2: 宗師傳奇","1"
"95%",1981,"Raiders of the Lost Ark","1"
"95%",2010,"十三人の刺客","1"
"94%",2016,"부산행","1"
"94%",2013,"Snowpiercer","1"
"94%",2008,"The Dark Knight","1"
"94%",2008,"The Wrecking Crew","1"
